Name RA Dec
LATISS_MD02_00000030 03:31:13.69661267 -27:36:54.98164085
LATISS_MD02_00000031 03:31:39.14580265 -27:36:54.98164085
LATISS_MD02_00000032 03:32:04.59499264 -27:36:54.98164085
LATISS_MD02_00000033 03:32:30.04418262 -27:36:54.98164085
LATISS_MD02_00000034 03:32:55.49337261 -27:36:54.98164085
LATISS_MD02_00000035 03:33:20.94256259 -27:36:54.98164085
LATISS_MD02_00000036 03:33:46.39175258 -27:36:54.98164085
LATISS_MD02_00000037 03:34:11.84094256 -27:36:54.98164085
LATISS_MD02_00000038 03:30:30.23872679 -27:42:32.85182507
LATISS_MD02_00000039 03:30:55.70291777 -27:42:32.85182507
LATISS_MD02_00000040 03:31:21.16710875 -27:42:32.85182507
LATISS_MD02_00000041 03:31:46.63129973 -27:42:32.85182507
LATISS_MD02_00000042 03:32:12.09549072 -27:42:32.85182507
LATISS_MD02_00000043 03:32:37.5596817 -27:42:32.85182507
LATISS_MD02_00000044 03:33:03.02387268 -27:42:32.85182507
LATISS_MD02_00000045 03:33:28.48806366 -27:42:32.85182507
LATISS_MD02_00000046 03:33:53.95225464 -27:42:32.85182507
LATISS_MD02_00000047 03:34:19.41644562 -27:42:32.85182507
LATISS_MD02_00000048 03:30:41.4159292 -27:48:10.72018516
LATISS_MD02_00000049 03:31:06.90265487 -27:48:10.72018516
LATISS_MD02_00000050 03:31:32.38938053 -27:48:10.72018516
LATISS_MD02_00000051 03:31:57.87610619 -27:48:10.72018516
LATISS_MD02_00000052 03:32:23.36283186 -27:48:10.72018516
LATISS_MD02_00000053 03:32:48.84955752 -27:48:10.72018516
LATISS_MD02_00000054 03:33:14.33628319 -27:48:10.72018516
LATISS_MD02_00000055 03:33:39.82300885 -27:48:10.72018516
LATISS_MD02_00000056 03:34:05.30973451 -27:48:10.72018516
LATISS_MD02_00000057 03:30:27.10363153 -27:53:48.58640814
LATISS_MD02_00000058 03:30:52.6129318 -27:53:48.58640814
LATISS_MD02_00000059 03:31:18.12223206 -27:53:48.58640814
LATISS_MD02_00000060 03:31:43.63153233 -27:53:48.58640814
LATISS_MD02_00000061 03:32:09.1408326 -27:53:48.58640814
LATISS_MD02_00000062 03:32:34.65013286 -27:53:48.58640814
LATISS_MD02_00000063 03:33:00.15943313 -27:53:48.58640814
LATISS_MD02_00000064 03:33:25.66873339 -27:53:48.58640814
LATISS_MD02_00000065 03:33:51.17803366 -27:53:48.58640814
LATISS_MD02_00000066 03:34:16.68733392 -27:53:48.58640814
LATISS_MD02_00000067 03:30:38.29787234 -27:59:26.45049301
LATISS_MD02_00000068 03:31:03.82978723 -27:59:26.45049301
LATISS_MD02_00000069 03:31:29.36170213 -27:59:26.45049301
LATISS_MD02_00000070 03:31:54.89361702 -27:59:26.45049301
LATISS_MD02_00000071 03:32:20.42553191 -27:59:26.45049301
LATISS_MD02_00000072 03:32:45.95744681 -27:59:26.45049301
LATISS_MD02_00000073 03:33:11.4893617 -27:59:26.45049301
LATISS_MD02_00000074 03:33:37.0212766 -27:59:26.45049301
LATISS_MD02_00000075 03:34:02.55319149 -27:59:26.45049301
LATISS_MD02_00000076 03:30:49.5119787 -28:05:04.31243879
LATISS_MD02_00000077 03:31:15.06654836 -28:05:04.31243879
LATISS_MD02_00000078 03:31:40.62111801 -28:05:04.31243879
LATISS_MD02_00000079 03:32:06.17568767 -28:05:04.31243879
LATISS_MD02_00000080 03:32:31.73025732 -28:05:04.31243879
LATISS_MD02_00000081 03:32:57.28482697 -28:05:04.31243879
LATISS_MD02_00000082 03:33:22.83939663 -28:05:04.31243879
LATISS_MD02_00000083 03:33:48.39396628 -28:05:04.31243879
LATISS_MD02_00000084 03:34:13.94853594 -28:05:04.31243879
LATISS_MD02_00000085 03:30:35.1687389 -28:10:42.17224453
LATISS_MD02_00000086 03:31:00.74600355 -28:10:42.17224453
LATISS_MD02_00000087 03:31:26.32326821 -28:10:42.17224453
LATISS_MD02_00000088 03:31:51.90053286 -28:10:42.17224453
LATISS_MD02_00000089 03:32:17.47779751 -28:10:42.17224453
LATISS_MD02_00000090 03:32:43.05506217 -28:10:42.17224453
LATISS_MD02_00000091 03:33:08.63232682 -28:10:42.17224453
LATISS_MD02_00000092 03:33:34.20959147 -28:10:42.17224453
LATISS_MD02_00000093 03:33:59.78685613 -28:10:42.17224453
LATISS_MD02_00000094 03:30:46.4 -28:16:20.02990928
LATISS_MD02_00000095 03:31:12 -28:16:20.02990928
LATISS_MD02_00000096 03:31:37.6 -28:16:20.02990928
LATISS_MD02_00000097 03:32:03.2 -28:16:20.02990928
LATISS_MD02_00000098 03:32:28.8 -28:16:20.02990928
LATISS_MD02_00000099 03:32:54.4 -28:16:20.02990928
LATISS_MD02_00000100 03:33:20 -28:16:20.02990928
LATISS_MD02_00000101 03:33:45.6 -28:16:20.02990928
LATISS_MD02_00000102 03:34:11.2 -28:16:20.02990928
LATISS_E6A_00000001 14:43:15.81036384 -44:46:45.37504682
LATISS_E6A_00000002 14:43:47.56339581 -44:46:45.37504682
LATISS_E6A_00000003 14:44:19.31642778 -44:46:45.37504682
LATISS_E6A_00000004 14:44:51.06945976 -44:46:45.37504682
LATISS_E6A_00000005 14:45:22.82249173 -44:46:45.37504682
LATISS_E6A_00000006 14:45:54.5755237 -44:46:45.37504682
LATISS_E6A_00000007 14:46:26.32855568 -44:46:45.37504682
LATISS_E6A_00000008 14:46:58.08158765 -44:46:45.37504682
LATISS_E6A_00000009 14:47:29.83461963 -44:46:45.37504682
LATISS_E6A_00000010 14:48:01.5876516 -44:46:45.37504682
LATISS_E6A_00000011 14:42:58.43209422 -44:52:22.77213221
LATISS_E6A_00000012 14:43:30.23187339 -44:52:22.77213221
LATISS_E6A_00000013 14:44:02.03165256 -44:52:22.77213221
LATISS_E6A_00000014 14:44:33.83143173 -44:52:22.77213221
LATISS_E6A_00000015 14:45:05.63121089 -44:52:22.77213221
LATISS_E6A_00000016 14:45:37.43099006 -44:52:22.77213221
LATISS_E6A_00000017 14:46:09.23076923 -44:52:22.77213221
LATISS_E6A_00000018 14:46:41.0305484 -44:52:22.77213221
LATISS_E6A_00000019 14:47:12.83032757 -44:52:22.77213221
LATISS_E6A_00000020 14:47:44.63010674 -44:52:22.77213221
LATISS_E6A_00000021 14:43:00.53097345 -44:58:00.16624781
LATISS_E6A_00000022 14:43:32.38938053 -44:58:00.16624781
LATISS_E6A_00000023 14:44:04.24778761 -44:58:00.16624781
LATISS_E6A_00000024 14:44:36.10619469 -44:58:00.16624781
LATISS_E6A_00000025 14:45:07.96460177 -44:58:00.16624781
LATISS_E6A_00000026 14:45:39.82300885 -44:58:00.16624781
LATISS_E6A_00000027 14:46:11.68141593 -44:58:00.16624781
LATISS_E6A_00000028 14:46:43.53982301 -44:58:00.16624781
LATISS_E6A_00000029 14:47:15.39823009 -44:58:00.16624781
LATISS_E6A_00000030 14:47:47.25663717 -44:58:00.16624781
LATISS_E6A_00000031 14:43:14.97784343 -45:03:37.55664714
LATISS_E6A_00000032 14:43:46.88330871 -45:03:37.55664714
LATISS_E6A_00000033 14:44:18.788774 -45:03:37.55664714
LATISS_E6A_00000034 14:44:50.69423929 -45:03:37.55664714
LATISS_E6A_00000035 14:45:22.59970458 -45:03:37.55664714
LATISS_E6A_00000036 14:45:54.50516987 -45:03:37.55664714
LATISS_E6A_00000037 14:46:26.41063516 -45:03:37.55664714
LATISS_E6A_00000038 14:46:58.31610044 -45:03:37.55664714
LATISS_E6A_00000039 14:47:30.22156573 -45:03:37.55664714
LATISS_E6A_00000040 14:48:02.12703102 -45:03:37.55664714
LATISS_E6A_00000041 14:43:17.11431743 -45:09:14.94406867
LATISS_E6A_00000042 14:43:49.07880133 -45:09:14.94406867
LATISS_E6A_00000043 14:44:21.04328524 -45:09:14.94406867
LATISS_E6A_00000044 14:44:53.00776915 -45:09:14.94406867
LATISS_E6A_00000045 14:45:24.97225305 -45:09:14.94406867
LATISS_E6A_00000046 14:45:56.93673696 -45:09:14.94406867
LATISS_E6A_00000047 14:46:28.90122087 -45:09:14.94406867
LATISS_E6A_00000048 14:47:00.86570477 -45:09:14.94406867
LATISS_E6A_00000049 14:47:32.83018868 -45:09:14.94406867
LATISS_E6A_00000050 14:48:04.79467259 -45:09:14.94406867
LATISS_E6A_00000051 14:42:59.62208225 -45:14:52.32775848
LATISS_E6A_00000052 14:43:31.6339385 -45:14:52.32775848
LATISS_E6A_00000053 14:44:03.64579474 -45:14:52.32775848
LATISS_E6A_00000054 14:44:35.65765098 -45:14:52.32775848
LATISS_E6A_00000055 14:45:07.66950722 -45:14:52.32775848
LATISS_E6A_00000056 14:45:39.68136347 -45:14:52.32775848
LATISS_E6A_00000057 14:46:11.69321971 -45:14:52.32775848
LATISS_E6A_00000058 14:46:43.70507595 -45:14:52.32775848
LATISS_E6A_00000059 14:47:15.7169322 -45:14:52.32775848
LATISS_E6A_00000060 14:47:47.72878844 -45:14:52.32775848
LATISS_E6A_00000061 14:43:14.13729128 -45:20:29.7084625
LATISS_E6A_00000062 14:43:46.19666048 -45:20:29.7084625
LATISS_E6A_00000063 14:44:18.25602968 -45:20:29.7084625
LATISS_E6A_00000064 14:44:50.31539889 -45:20:29.7084625
LATISS_E6A_00000065 14:45:22.37476809 -45:20:29.7084625
LATISS_E6A_00000066 14:45:54.43413729 -45:20:29.7084625
LATISS_E6A_00000067 14:46:26.49350649 -45:20:29.7084625
LATISS_E6A_00000068 14:46:58.5528757 -45:20:29.7084625
LATISS_E6A_00000069 14:47:30.6122449 -45:20:29.7084625
LATISS_E6A_00000070 14:48:02.6716141 -45:20:29.7084625
LATISS_E6A_00000071 14:43:16.28252788 -45:26:07.0861784
LATISS_E6A_00000072 14:43:48.40148699 -45:26:07.0861784
LATISS_E6A_00000073 14:44:20.5204461 -45:26:07.0861784
LATISS_E6A_00000074 14:44:52.6394052 -45:26:07.0861784
LATISS_E6A_00000075 14:45:24.75836431 -45:26:07.0861784
LATISS_E6A_00000076 14:45:56.87732342 -45:26:07.0861784
LATISS_E6A_00000077 14:46:28.99628253 -45:26:07.0861784
LATISS_E6A_00000078 14:47:01.11524164 -45:26:07.0861784
LATISS_E6A_00000079 14:47:33.23420074 -45:26:07.0861784
LATISS_E6A_00000080 14:48:05.35315985 -45:26:07.0861784
LATISS_E6A_00000081 14:42:58.70439315 -45:31:44.46014145
LATISS_E6A_00000082 14:43:30.87118392 -45:31:44.46014145
LATISS_E6A_00000083 14:44:03.03797468 -45:31:44.46014145
LATISS_E6A_00000084 14:44:35.20476545 -45:31:44.46014145
LATISS_E6A_00000085 14:45:07.37155622 -45:31:44.46014145
LATISS_E6A_00000086 14:45:39.53834698 -45:31:44.46014145
LATISS_E6A_00000087 14:46:11.70513775 -45:31:44.46014145
LATISS_E6A_00000088 14:46:43.87192852 -45:31:44.46014145
LATISS_E6A_00000089 14:47:16.03871929 -45:31:44.46014145
LATISS_E6A_00000090 14:47:48.20551005 -45:31:44.46014145
LATISS_E6A_00000091 14:43:00.82804924 -45:37:21.83110843
LATISS_E6A_00000092 14:43:33.05483029 -45:37:21.83110843
LATISS_E6A_00000093 14:44:05.28161134 -45:37:21.83110843
LATISS_E6A_00000094 14:44:37.50839239 -45:37:21.83110843
LATISS_E6A_00000095 14:45:09.73517344 -45:37:21.83110843
LATISS_E6A_00000096 14:45:41.96195449 -45:37:21.83110843
LATISS_E6A_00000097 14:46:14.18873555 -45:37:21.83110843
LATISS_E6A_00000098 14:46:46.4155166 -45:37:21.83110843
LATISS_E6A_00000099 14:47:18.64229765 -45:37:21.83110843
LATISS_E6A_00000100 14:47:50.8690787 -45:37:21.83110843
LATISS_E6A_00000101 14:43:15.44265969 -45:42:59.19830703
LATISS_E6A_00000102 14:43:47.71759432 -45:42:59.19830703
LATISS_E6A_00000103 14:44:19.99252895 -45:42:59.19830703
LATISS_E6A_00000104 14:44:52.26746358 -45:42:59.19830703
LATISS_E6A_00000105 14:45:24.54239821 -45:42:59.19830703
LATISS_E6A_00000106 14:45:56.81733284 -45:42:59.19830703
LATISS_E6A_00000107 14:46:29.09226746 -45:42:59.19830703
LATISS_E6A_00000108 14:47:01.36720209 -45:42:59.19830703
LATISS_E6A_00000109 14:47:33.64213672 -45:42:59.19830703
LATISS_E6A_00000110 14:48:05.91707135 -45:42:59.19830703
LATISS_NGC6712_001 18:52:41.30 -08:48:0.0
LATISS_NGC6712_002 18:52:41.30 -08:42:22.0
LATISS_NGC6712_003 18:52:41.30 -08:36:44.0
LATISS_NGC6712_004 18:53:04.30 -08:48:0.0
LATISS_NGC6712_005 18:53:04.30 -08:42:22.0
LATISS_NGC6712_006 18:53:04.30 -08:36:44.0
LATISS_NGC6712_007 18:53:27.30 -08:48:0.0
LATISS_NGC6712_008 18:53:27.30 -08:42:22.0
LATISS_NGC6712_009 18:53:27.30 -08:36:44.0
LATISS_NGC6749_001 19:04:52.74 +01:48:24.6
LATISS_NGC6749_002 19:04:52.74 +01:54:03
LATISS_NGC6749_003 19:04:52.74 +01:59:41.4
LATISS_NGC6749_004 19:05:15.3 +01:48:24.6
LATISS_NGC6749_005 19:05:15.3 +01:54:03
LATISS_NGC6749_006 19:05:15.3 +01:59:41.4
LATISS_NGC6749_007 19:05:37.86 +01:48:24.6
LATISS_NGC6749_008 19:05:37.86 +01:54:03
LATISS_NGC6749_009 19:05:37.86 +01:59:41.4
LATISS_SPTCL_J2040-5725_001 20:38:19.04397706 -56:57:14.77692945
LATISS_SPTCL_J2040-5725_002 20:39:00.34416826 -56:57:14.77692945
LATISS_SPTCL_J2040-5725_003 20:39:41.64435946 -56:57:14.77692945
LATISS_SPTCL_J2040-5725_004 20:40:22.94455067 -56:57:14.77692945
LATISS_SPTCL_J2040-5725_005 20:41:04.24474187 -56:57:14.77692945
LATISS_SPTCL_J2040-5725_006 20:41:45.54493308 -56:57:14.77692945
LATISS_SPTCL_J2040-5725_007 20:42:26.84512428 -56:57:14.77692945
LATISS_SPTCL_J2040-5725_008 20:37:44.23777565 -57:02:51.62693261
LATISS_SPTCL_J2040-5725_009 20:38:25.65675935 -57:02:51.62693261
LATISS_SPTCL_J2040-5725_010 20:39:07.07574305 -57:02:51.62693261
LATISS_SPTCL_J2040-5725_011 20:39:48.49472675 -57:02:51.62693261
LATISS_SPTCL_J2040-5725_012 20:40:29.91371045 -57:02:51.62693261
LATISS_SPTCL_J2040-5725_013 20:41:11.33269415 -57:02:51.62693261
LATISS_SPTCL_J2040-5725_014 20:41:52.75167785 -57:02:51.62693261
LATISS_SPTCL_J2040-5725_015 20:42:34.17066155 -57:02:51.62693261
LATISS_SPTCL_J2040-5725_016 20:37:56.59778952 -57:08:28.47028179
LATISS_SPTCL_J2040-5725_017 20:38:38.11629025 -57:08:28.47028179
LATISS_SPTCL_J2040-5725_018 20:39:19.63479097 -57:08:28.47028179
LATISS_SPTCL_J2040-5725_019 20:40:01.15329169 -57:08:28.47028179
LATISS_SPTCL_J2040-5725_020 20:40:42.67179241 -57:08:28.47028179
LATISS_SPTCL_J2040-5725_021 20:41:24.19029313 -57:08:28.47028179
LATISS_SPTCL_J2040-5725_022 20:42:05.70879385 -57:08:28.47028179
LATISS_SPTCL_J2040-5725_023 20:42:47.22729457 -57:08:28.47028179
LATISS_SPTCL_J2040-5725_024 20:38:09.01734104 -57:14:05.30844471
LATISS_SPTCL_J2040-5725_025 20:38:50.63583815 -57:14:05.30844471
LATISS_SPTCL_J2040-5725_026 20:39:32.25433526 -57:14:05.30844471
LATISS_SPTCL_J2040-5725_027 20:40:13.87283237 -57:14:05.30844471
LATISS_SPTCL_J2040-5725_028 20:40:55.49132948 -57:14:05.30844471
LATISS_SPTCL_J2040-5725_029 20:41:37.10982659 -57:14:05.30844471
LATISS_SPTCL_J2040-5725_030 20:42:18.7283237 -57:14:05.30844471
LATISS_SPTCL_J2040-5725_031 20:37:39.77788508 -57:19:42.1414061
LATISS_SPTCL_J2040-5725_032 20:38:21.49686142 -57:19:42.1414061
LATISS_SPTCL_J2040-5725_033 20:39:03.21583776 -57:19:42.1414061
LATISS_SPTCL_J2040-5725_034 20:39:44.9348141 -57:19:42.1414061
LATISS_SPTCL_J2040-5725_035 20:40:26.65379044 -57:19:42.1414061
LATISS_SPTCL_J2040-5725_036 20:41:08.37276678 -57:19:42.1414061
LATISS_SPTCL_J2040-5725_037 20:41:50.09174312 -57:19:42.1414061
LATISS_SPTCL_J2040-5725_038 20:42:31.81071946 -57:19:42.1414061
LATISS_SPTCL_J2040-5725_039 20:37:46.34382567 -57:25:18.96915064
LATISS_SPTCL_J2040-5725_040 20:38:28.18401937 -57:25:18.96915064
LATISS_SPTCL_J2040-5725_041 20:39:10.02421308 -57:25:18.96915064
LATISS_SPTCL_J2040-5725_042 20:39:51.86440678 -57:25:18.96915064
LATISS_SPTCL_J2040-5725_043 20:40:33.70460048 -57:25:18.96915064
LATISS_SPTCL_J2040-5725_044 20:41:15.54479419 -57:25:18.96915064
LATISS_SPTCL_J2040-5725_045 20:41:57.38498789 -57:25:18.96915064
LATISS_SPTCL_J2040-5725_046 20:42:39.2251816 -57:25:18.96915064
LATISS_SPTCL_J2040-5725_047 20:37:58.83495146 -57:30:55.79013473
LATISS_SPTCL_J2040-5725_048 20:38:40.77669903 -57:30:55.79013473
LATISS_SPTCL_J2040-5725_049 20:39:22.7184466 -57:30:55.79013473
LATISS_SPTCL_J2040-5725_050 20:40:04.66019417 -57:30:55.79013473
LATISS_SPTCL_J2040-5725_051 20:40:46.60194175 -57:30:55.79013473
LATISS_SPTCL_J2040-5725_052 20:41:28.54368932 -57:30:55.79013473
LATISS_SPTCL_J2040-5725_053 20:42:10.48543689 -57:30:55.79013473
LATISS_SPTCL_J2040-5725_054 20:38:11.38686131 -57:36:32.60586229
LATISS_SPTCL_J2040-5725_055 20:38:53.43065693 -57:36:32.60586229
LATISS_SPTCL_J2040-5725_056 20:39:35.47445255 -57:36:32.60586229
LATISS_SPTCL_J2040-5725_057 20:40:17.51824818 -57:36:32.60586229
LATISS_SPTCL_J2040-5725_058 20:40:59.5620438 -57:36:32.60586229
LATISS_SPTCL_J2040-5725_059 20:41:41.60583942 -57:36:32.60586229
LATISS_SPTCL_J2040-5725_060 20:42:23.64963504 -57:36:32.60586229
LATISS_SPTCL_J2040-5725_061 20:38:18.0966325 -57:42:09.41631775
LATISS_SPTCL_J2040-5725_062 20:39:00.26354319 -57:42:09.41631775
LATISS_SPTCL_J2040-5725_063 20:39:42.43045388 -57:42:09.41631775
LATISS_SPTCL_J2040-5725_064 20:40:24.59736457 -57:42:09.41631775
LATISS_SPTCL_J2040-5725_065 20:41:06.76427526 -57:42:09.41631775
LATISS_SPTCL_J2040-5725_066 20:41:48.93118594 -57:42:09.41631775
LATISS_SPTCL_J2040-5725_067 20:42:31.09809663 -57:42:09.41631775
LATISS_SPTCL_J2040-5725_068 20:37:48.49315068 -57:47:46.21992837
LATISS_SPTCL_J2040-5725_069 20:38:30.76320939 -57:47:46.21992837
LATISS_SPTCL_J2040-5725_070 20:39:13.0332681 -57:47:46.21992837
LATISS_SPTCL_J2040-5725_071 20:39:55.30332681 -57:47:46.21992837
LATISS_SPTCL_J2040-5725_072 20:40:37.57338552 -57:47:46.21992837
LATISS_SPTCL_J2040-5725_073 20:41:19.84344423 -57:47:46.21992837
LATISS_SPTCL_J2040-5725_074 20:42:02.11350294 -57:47:46.21992837
LATISS_SPTCL_J2040-5725_075 20:42:44.38356164 -57:47:46.21992837
LATISS_SPTCL_J2040-5725_076 20:38:01.11819519 -57:53:23.0182265
LATISS_SPTCL_J2040-5725_077 20:38:43.4919078 -57:53:23.0182265
LATISS_SPTCL_J2040-5725_078 20:39:25.8656204 -57:53:23.0182265
LATISS_SPTCL_J2040-5725_079 20:40:08.23933301 -57:53:23.0182265
LATISS_SPTCL_J2040-5725_080 20:40:50.61304561 -57:53:23.0182265
LATISS_SPTCL_J2040-5725_081 20:41:32.98675821 -57:53:23.0182265
LATISS_SPTCL_J2040-5725_082 20:42:15.36047082 -57:53:23.0182265
